Campaign ID,Campaign Name,Scope,Target Store / Region,SKUs Covered,Channel,Start Date,End Date,Discount Depth %,Spend Amount (INR)
CMP-2026-001,Spring Running Season Kickoff,national,National,FW-001;FW-002;FW-003,social,2026-03-01,2026-03-20,10,650000
CMP-2026-002,Marathon Pro Store Trial Days,region,West,FW-001,in-store,2026-03-05,2026-03-15,5,180000
CMP-2026-003,Trail Blazer Weekend Feature,region,West,FW-003,email,2026-03-08,2026-03-22,8,210000
CMP-2026-004,Comfort Walk Everyday Push,national,National,FW-005,social,2026-03-12,2026-03-31,10,300000
CMP-2026-005,Grip Trainer Gym Partnership,region,West,FW-004,influencer,2026-03-18,2026-04-05,12,260000
CMP-2026-007,April Fools Flash Sale,national,National,FW-002;FW-003,social,2026-04-01,2026-04-03,25,300000
CMP-2026-006,Summer Track Nitro Speed Challenge,national,National,FW-001;FW-002,social,2026-04-10,2026-04-30,15,820000
CMP-2026-008,Marathon Prep Series - Mumbai,local,Mumbai High Street,FW-001,in-store,2026-04-12,2026-04-26,8,150000
CMP-2026-010,Pune Running Club Meetup Sponsorship,local,Pune FC Road,FW-001;FW-002,local ads,2026-04-18,2026-04-28,10,120000
CMP-2026-011,Ahmedabad Store Anniversary Sale,local,Ahmedabad Palladium,FW-001;FW-003;FW-004;FW-005,in-store,2026-04-20,2026-05-05,15,200000
CMP-2026-013,Nitro Speed National Push,national,National,FW-002,social,2026-05-01,2026-05-20,12,500000
CMP-2026-014,Summer Trail Adventure Teaser,national,National,FW-003,email,2026-05-05,2026-05-25,10,280000
CMP-2026-015,Grip Trainer Summer Fitness Drive,region,West,FW-004,influencer,2026-05-10,2026-05-31,15,310000
CMP-2026-009,Nitro Running City Blitz (West Region),region,West,FW-001;FW-002,social,2026-05-15,2026-06-15,15,450000
CMP-2026-012,National Early Monsoon Teaser,national,National,FW-002;FW-004,email,2026-05-22,2026-06-05,18,540000
CMP-2026-016,West Region Marathon Pro Restock Teaser,region,West,FW-001,email,2026-05-28,2026-06-10,5,90000
CMP-2026-018,Mid-Monsoon Comfort Walk Feature,national,National,FW-005,social,2026-06-01,2026-06-20,12,260000
CMP-2026-019,Grip Trainer Monsoon Gym Push,national,National,FW-004,email,2026-06-08,2026-06-25,10,240000
CMP-2026-023,Trail Blazer Rains Ready Campaign,national,National,FW-003,social,2026-06-15,2026-07-05,15,330000
CMP-2026-024,Pune DC Priority Restock Alert,local,Pune FC Road,FW-001,local ads,2026-06-25,2026-07-10,0,95000
CMP-2026-017,Monsoon Running End of Season Sale,national,National,FW-001;FW-002;FW-003;FW-004,social,2026-07-01,2026-07-31,20,1200000
CMP-2026-025,July Payday Weekend Sale,national,National,All Catalog,social,2026-07-04,2026-07-06,20,400000
CMP-2026-026,Nitro Speed Mid-Monsoon Refresh,national,National,FW-002,email,2026-07-08,2026-07-22,15,360000
CMP-2026-020,West Region DC Replenishment Hero Push,region,West,FW-001,local ads,2026-07-20,2026-07-31,0,220000
CMP-2026-027,Mumbai Store Restock Celebration,local,Mumbai High Street,FW-001,in-store,2026-07-25,2026-08-02,10,130000
CMP-2026-028,Comfort Walk Rakhi Gifting Teaser,national,National,FW-005,social,2026-07-28,2026-08-09,10,220000
CMP-2026-021,Independence Freedom Run Exclusive,national,National,All Catalog,email,2026-08-01,2026-08-18,18,950000
CMP-2026-029,Grip Trainer Back-to-Fitness Push,national,National,FW-004,influencer,2026-08-05,2026-08-20,12,300000
CMP-2026-030,West Region Marathon Pro Stock Confidence Drive,region,West,FW-001;FW-002,local ads,2026-08-08,2026-08-22,8,210000
CMP-2026-022,Raksha Bandhan Athletic Gifting Showcase,national,National,FW-002;FW-004;FW-005,social,2026-08-10,2026-08-25,15,720000
CMP-2026-031,Trail Blazer Monsoon Farewell Sale,national,National,FW-003,social,2026-08-15,2026-08-29,15,280000
CMP-2026-032,August Payday Weekend Flash Sale,national,National,All Catalog,email,2026-08-28,2026-08-31,22,380000
